title;artist;album;platform;isFound
"A Little Party Never Killed Nobody (All We Got)";Fergie;;applemusicapp;1
"The A Team";"Ed Sheeran";"+ (Plus)";applemusicapp;1
A-Punk;"Vampire Weekend";"Vampire Weekend";applemusicapp;1
A-Punk;"Vampire Weekend";"Vampire Weekend";applemusicapp;1
A.N.I.C.;"Sum 41";"Does this Look Infected?";applemusicapp;1
Abc;"Jackson 5";"Anthology: Jackson 5";applemusicapp;1
ABC;"Jackson 5";"The Ultimate Collection";applemusicapp;1
"About A Girl";"The Academy Is...";"Fast Times at Barrington High";applemusicapp;1
"About the Money (feat. Young Thug)";T.I.;"Paperwork (Deluxe Version)";applemusicapp;1
"Absolutely (Story Of A Girl)";"Nine Days";;applemusicapp;1
Acapella;Karmin;"Acapella - Single";applemusicapp;1
"Accelerate (feat. Ty Dolla $ign & 2 Chainz)";"Christina Aguilera";Liberation;applemusicapp;1
"According To You";Orianthi;"According To You";applemusicapp;1
Acquainted;"The Weeknd";"Beauty Behind the Madness";applemusicapp;1
Action/Reaction;"Choir of Young Believers";"Action/Reaction (Digital Only)";applemusicapp;1
"Adagio for Strings and Organ in G Minor";"Vivaldi Collegium Orchestra";"Vivaldi: Violin Concertos, Oboe Concerto & Guitar Concerto - Pachelbel: Canon in D - Albinoni: Adagio in G Minor & Adagio for Oboe - Bach: Air On the G String & Toccata and Fugue - Walter Rinaldi: Orchestral Works and Piano Works - Mozart: Sonata Facile";applemusicapp;1
"Adagio for Strings, Op. 11";"Eugene Ormandy & The Philadelphia Orchestra";"#nowspinning Barber";applemusicapp;0
"Adam's Song";"Blink 182";"Enema of the State";applemusicapp;1
"Adam's Song";Blink-182;;applemusicapp;1
Addicted;"Kelly Clarkson";Breakaway;applemusicapp;1
Addicted;"Saving Abel";;applemusicapp;1
Addicted;"Simple Plan";;applemusicapp;1
"Addicted To Love";"Robert Palmer";"VH1 100 Greatest Songs of 80’s";applemusicapp;1
"Adler Girl Pt. II (I Can Change!)";"Super Mash Bros.";"All About The Scrilions";applemusicapp;0
Adorn;Miguel;"Kaleidoscope Dream";applemusicapp;1
Adrenaline;"Simple Creatures";"Strange Love - EP";applemusicapp;1
Advice;Kehlani;"SweetSexySavage (Deluxe)";applemusicapp;1
"Afire Love";"Ed Sheeran";"x (Deluxe Edition)";applemusicapp;1
Afraid;"Nelly Furtado Feat. Attitude";Loose;applemusicapp;0
Afraid;"Vanessa Hudgens";V;applemusicapp;1
"After The Last Midtown Show";"The Academy Is...";"Fast Times at Barrington High";applemusicapp;0
Afterlife;"Avenged Sevenfold";;applemusicapp;0
Again;"Fetty Wap";"Fetty Wap (Deluxe Edition)";applemusicapp;1
"Again Again";"Lady GaGa";"The Fame";applemusicapp;0
"Ain't Easy";"Chel Farley";"New Country May 2013";applemusicapp;0
"Ain't Easy";"Rachel Farley";"New Country May 2013";applemusicapp;1
"Ain't Gotta Work";"Hoodie Allen";"All American";applemusicapp;1
"Ain't It Fun";Paramore;Paramore;applemusicapp;1
"Ain't No Mountain High Enough";"Marvin Gaye ft Tammi Terrell";;applemusicapp;1
"Ain't No Mountain High Enough";"Marvin Gaye & Tammi Terrell";"20 #1’s: Movie Love Songs";applemusicapp;1
"Ain't No Mystery";"Smash Mouth";"All Star Smash Hits";applemusicapp;0
"Ain't no Other Man";"Christina Aguilera";"Back To Basics [Disc 1]";applemusicapp;1
"Ain't No Trucks in Texas";"Ronnie Dunn";"Ain't No Trucks in Texas";applemusicapp;1
"Ain't Nobody";"Rufus & Chaka Khan";"VH1 100 Greatest Songs of 80’s";applemusicapp;1
"Ain't Talking 'Bout Love";"Van Halen";;applemusicapp;0
"Ain't True (Interlude)";"Danity Kane";"Danity Kane";applemusicapp;0
"Aint No Rest For The Wicked";"Cage The Elephant";"Album Sampler";applemusicapp;1
Airplanes;"B.o.B. ft. Hayley Williams";www.musiq-ism.blogspot.com;applemusicapp;0
Airplanes;B.o.B.;;applemusicapp;1
"Al Pacino";"Timmy Trumpet & Krunk!";"Al Pacino - Single";applemusicapp;1
Alarm;"Dzeko & Torres";"Alarm - Single";applemusicapp;1
Alejandro;"Lady GaGa";"The Fame: Monster";applemusicapp;1
Alibi;"30 Seconds To Mars";"This Is War";applemusicapp;1
"Aliens Exist";"Blink 182";"Enema of the State";applemusicapp;1
Alive;"The Black Eyed Peas";"The E.N.D.";applemusicapp;1
Alive;"Pearl Jam";"100 Greatest Rock Songs Of The 90s";applemusicapp;1
Alive;Krewella;;applemusicapp;1
"Alive (Remix)";"Cash Cash";;applemusicapp;0
"All Again For You";"We the Kings";"We the Kings";applemusicapp;1
"All Alone";Fun.;"Some Nights";applemusicapp;1
"All Alright";Fun.;"Some Nights";applemusicapp;1
"All Alright";"Zac Brown Band";"The Grohl Sessions Vol. 1";applemusicapp;1
"All Apologies";Nirvana;"100 Greatest Rock Songs Of The 90s";applemusicapp;1
"All Around Me";Flyleaf;Flyleaf;applemusicapp;1
"All At Once";"The Fray";"How to Save a Life";applemusicapp;1
"All Black";"Good Charlotte";"Good Morning Revival";applemusicapp;1
"All Eyes On You (feat. Chris Brown & Nicki Minaj)";"Meek Mill";"Dreams Worth More Than Money";applemusicapp;1
"All Fall Down";OneRepublic;"Dreaming Out Loud";applemusicapp;1
"All for One";"Cast - High School Musical";"High School Musical 2";applemusicapp;1
"All for Us (From the HBO Original Series Euphoria)";"Labrinth & Zendaya";"All for Us (From the HBO Original Series Euphoria) - Single";applemusicapp;1
"All For You";"Sister Hazel";;applemusicapp;1
"All Gold Everything";"Trinidad James";"All Gold Everything - Single";applemusicapp;1
"All Good Things (Come To An End)";"Nelly Furtado";Loose;applemusicapp;1
"All I Ask of You";"Sarah Brightman & Steve Barton";"The Phantom of the Opera (Original London Cast)";applemusicapp;0
"All I Ask Of You";Skrillex;;applemusicapp;1
"All I Ask of You (Reprise)";"Michael Crawford";"The Phantom of the Opera (Original London Cast)";applemusicapp;1
"All I Do Is Win";"DJ Khaled (ft. Ludacris, Snoop Dogg, Rick Ross & T-Pain)";CurrentHipHop.com;applemusicapp;1
"All I Ever Wanted";Basshunter;"Now You're Gone: The Album";applemusicapp;0
"All I Ever Wanted";"Kelly Clarkson";"All I Ever Wanted";applemusicapp;1
"All I Ever Wanted";Basshunter;;applemusicapp;0
"All I Want For Christmas Is You";"Michael Bublé";;applemusicapp;1
"All I Want For Christmas Is You";"The Cheetah Girls";"Cheetah-Licious Christmas";applemusicapp;1
"All I Want Is You This Christmas";"'N Sync";"Home For Christmas";applemusicapp;0
"All In My Head (Flex) [feat. Fetty Wap]";"Fifth Harmony";"7/27 (Deluxe)";applemusicapp;1
"All Is Well";"Austin Basham";"Linton / / Oslo EP";applemusicapp;1
"All Messed Up";"Sum 41";"Does this Look Infected?";applemusicapp;1
"All Mine";"Kanye West";ye;applemusicapp;1
"All My Life";"Foo Fighters";"One By One";applemusicapp;1
"All My Rowdy Friends Are Coming Over Tonight";"Hank Williams, Jr.";"Hank Williams, Jr.: Greatest Hits, Vol. 2";applemusicapp;1
"All Night Long";"Lionel Richie";"VH1 100 Greatest Songs of 80’s";applemusicapp;1
"All Night Longer";"Sam Adams";;applemusicapp;1
"All Night Longer";"Sammy Adams";"All Night Longer - Single";applemusicapp;1
"All Night To Get There";"Rascal Flatts";"Nothing Like This";applemusicapp;1
"All Nightmare Long";Metallica;;applemusicapp;1
"All of Me";"John Legend";"Love in the Future";applemusicapp;1
"All of Me (Violin Remix)";"John Legend & Lindsey Stirling";"John Legend x Lindsey Stirling: The Violin Remixes - Single";applemusicapp;0
"All of the Above";Maino;;applemusicapp;0
"All Of The Lights";"Kanye West";"My Beautiful Dark Twisted Fantasy";applemusicapp;1
"All Of The Lights";"Kanye West";;applemusicapp;1
"All Of The Lights (Interlude)";"Kanye West";"My Beautiful Dark Twisted Fantasy";applemusicapp;1
"All Of This";"Blink 182";"Blink 182";applemusicapp;1
"All On Me";"Devin Dawson";"Dark Horse";applemusicapp;1
"All Or Nothing";"Theory of a Deadman";"Scars & Souvenirs";applemusicapp;1
